source,target,confidence_score,interaction_type
FBN1,ELN,0.999,protein_protein_interaction
ELN,FBN1,0.999,protein_protein_interaction
FBN1,MFAP2,0.997,protein_protein_interaction
MFAP2,FBN1,0.997,protein_protein_interaction
FBN1,ADAMTS10,0.995,protein_protein_interaction
ADAMTS10,FBN1,0.995,protein_protein_interaction
FBN1,LTBP1,0.989,protein_protein_interaction
LTBP1,FBN1,0.989,protein_protein_interaction
FBN1,FN1,0.982,protein_protein_interaction
FN1,FBN1,0.982,protein_protein_interaction
FBN1,MFAP5,0.976,protein_protein_interaction
MFAP5,FBN1,0.976,protein_protein_interaction
FBN1,LUM,0.972,protein_protein_interaction
LUM,FBN1,0.972,protein_protein_interaction
FBN1,FBLN2,0.971,protein_protein_interaction
FBLN2,FBN1,0.971,protein_protein_interaction
FBN1,COL3A1,0.97,protein_protein_interaction
COL3A1,FBN1,0.97,protein_protein_interaction
FBN1,COL1A2,0.965,protein_protein_interaction
COL1A2,FBN1,0.965,protein_protein_interaction
EGFR,SOS1,0.999,protein_protein_interaction
SOS1,EGFR,0.999,protein_protein_interaction
SOS1,GRB2,0.999,protein_protein_interaction
GRB2,SOS1,0.999,protein_protein_interaction
SOS1,PTPN11,0.999,protein_protein_interaction
PTPN11,SOS1,0.999,protein_protein_interaction
SOS1,KRAS,0.999,protein_protein_interaction
KRAS,SOS1,0.999,protein_protein_interaction
SOS1,PTK2,0.999,protein_protein_interaction
PTK2,SOS1,0.999,protein_protein_interaction
SOS1,EPS8,0.999,protein_protein_interaction
EPS8,SOS1,0.999,protein_protein_interaction
SOS1,HRAS,0.999,protein_protein_interaction
HRAS,SOS1,0.999,protein_protein_interaction
SOS1,SHC1,0.999,protein_protein_interaction
SHC1,SOS1,0.999,protein_protein_interaction
SOS1,ABI1,0.998,protein_protein_interaction
ABI1,SOS1,0.998,protein_protein_interaction
SLC22A5,NOD2,0.739,protein_protein_interaction
NOD2,SLC22A5,0.739,protein_protein_interaction
SPAST,CHMP1B,0.999,protein_protein_interaction
CHMP1B,SPAST,0.999,protein_protein_interaction
SPAST,IST1,0.999,protein_protein_interaction
IST1,SPAST,0.999,protein_protein_interaction
SPAST,ATL1,0.996,protein_protein_interaction
ATL1,SPAST,0.996,protein_protein_interaction
SPAST,REEP1,0.977,protein_protein_interaction
REEP1,SPAST,0.977,protein_protein_interaction
SPAST,ATL2,0.972,protein_protein_interaction
ATL2,SPAST,0.972,protein_protein_interaction
SPAST,ATL3,0.966,protein_protein_interaction
ATL3,SPAST,0.966,protein_protein_interaction
SPAST,ZFYVE27,0.963,protein_protein_interaction
ZFYVE27,SPAST,0.963,protein_protein_interaction
SPAST,SPG11,0.936,protein_protein_interaction
SPG11,SPAST,0.936,protein_protein_interaction
SPAST,NIPA1,0.934,protein_protein_interaction
NIPA1,SPAST,0.934,protein_protein_interaction
SPAST,RTN1,0.904,protein_protein_interaction
RTN1,SPAST,0.904,protein_protein_interaction
GALC,ARSA,0.985,protein_protein_interaction
ARSA,GALC,0.985,protein_protein_interaction
GALC,ASAH1,0.983,protein_protein_interaction
ASAH1,GALC,0.983,protein_protein_interaction
GALC,GBA,0.978,protein_protein_interaction
GBA,GALC,0.978,protein_protein_interaction
GALC,GLA,0.976,protein_protein_interaction
GLA,GALC,0.976,protein_protein_interaction
GALC,SMPD1,0.971,protein_protein_interaction
SMPD1,GALC,0.971,protein_protein_interaction
GALC,UGT8,0.968,protein_protein_interaction
UGT8,GALC,0.968,protein_protein_interaction
GALC,GBA2,0.95,protein_protein_interaction
GBA2,GALC,0.95,protein_protein_interaction
GALC,UGCG,0.95,protein_protein_interaction
UGCG,GALC,0.95,protein_protein_interaction
GALC,CERK,0.942,protein_protein_interaction
CERK,GALC,0.942,protein_protein_interaction
GALC,SGMS1,0.938,protein_protein_interaction
SGMS1,GALC,0.938,protein_protein_interaction
RET,GFRA2,0.999,protein_protein_interaction
GFRA2,RET,0.999,protein_protein_interaction
RET,GFRA1,0.999,protein_protein_interaction
GFRA1,RET,0.999,protein_protein_interaction
RET,NRTN,0.999,protein_protein_interaction
NRTN,RET,0.999,protein_protein_interaction
RET,GFRA3,0.999,protein_protein_interaction
GFRA3,RET,0.999,protein_protein_interaction
RET,ARTN,0.999,protein_protein_interaction
ARTN,RET,0.999,protein_protein_interaction
RET,GDNF,0.999,protein_protein_interaction
GDNF,RET,0.999,protein_protein_interaction
RET,GFRAL,0.998,protein_protein_interaction
GFRAL,RET,0.998,protein_protein_interaction
RET,PSPN,0.996,protein_protein_interaction
PSPN,RET,0.996,protein_protein_interaction
RET,NCOA4,0.993,protein_protein_interaction
NCOA4,RET,0.993,protein_protein_interaction
RET,CCDC6,0.989,protein_protein_interaction
CCDC6,RET,0.989,protein_protein_interaction
BRCA2,RAD51,0.999,protein_protein_interaction
RAD51,BRCA2,0.999,protein_protein_interaction
BRCA2,PALB2,0.999,protein_protein_interaction
PALB2,BRCA2,0.999,protein_protein_interaction
