Gene,Gene_ID,disease_name,disease_id,score,Calculated_Risk_Score,Num_SNPs,Total_Risk_Score,Weighted_Gene_Score,Feature_Type,Gene_Length_bp
FBN1,ENSG00000166147,Marfan syndrome,MONDO_0007947,0.8966798238959253,8.966804904181789,1,0.4,0.4,transcript,60013.0
SOS1,ENSG00000115904,Noonan syndrome,MONDO_0018997,0.8705764800548861,8.705788408422087,2,0.8,1.6,transcript,67774.0
SLC22A5,ENSG00000197375,Systemic primary carnitine deficiency,Orphanet_158,0.8672687749972517,8.67269331890899,1,0.4,0.4,transcript,71827.0
SPAST,ENSG00000021574,Autosomal dominant spastic paraplegia type 4,Orphanet_100985,0.8672580226066255,8.672585402384598,1,0.4,0.4,transcript,77275.0
GALC,ENSG00000054983,Krabbe disease,MONDO_0009499,0.8592547080021959,8.592619972960454,2,0.8,1.6,transcript,21950.0
RET,ENSG00000165731,multiple endocrine neoplasia type 2A,MONDO_0008234,0.8583241632332175,8.5832516445972,1,0.4,0.4,transcript,39951.0
RET,ENSG00000165731,medullary thyroid gland carcinoma,MONDO_0015277,0.8559795494557313,8.559805506822338,1,0.4,0.4,transcript,39951.0
BRCA2,ENSG00000139618,breast cancer,MONDO_0007254,0.8548846942723206,8.548849934710663,1,0.5,0.5,transcript,167113.0
BRCA2,ENSG00000139618,breast neoplasm,EFO_0003869,0.8546627679684532,8.54663067167199,1,0.5,0.5,transcript,167113.0
DYNC2H1,ENSG00000187240,asphyxiating thoracic dystrophy 3,MONDO_0013127,0.8531996080725445,8.532006237134139,1,0.5,0.5,transcript,49230.0
EGFR,ENSG00000146648,non-small cell lung carcinoma,EFO_0003060,0.8495102762038971,8.495140080693634,2,0.8,1.6,transcript,42874.0
PPARG,ENSG00000132170,type 2 diabetes mellitus,MONDO_0005148,0.8486377702559134,8.511908696753357,59,24.0,1416.0,transcript,55462.0
PPARG,ENSG00000132170,type 2 diabetes mellitus,MONDO_0005148,0.8486377702559134,8.511908696753357,59,24.0,1416.0,gene_variant,55462.0
PPARG,ENSG00000132170,type 2 diabetes mellitus,MONDO_0005148,0.8486377702559134,8.511908696753357,59,24.0,1416.0,transcript,55462.0
PPARG,ENSG00000132170,type 2 diabetes mellitus,MONDO_0005148,0.8486377702559134,8.511908696753357,59,24.0,1416.0,gene_variant,55462.0
